city,country,id,lat,lng,temp,humidity,clouds,wind_speed
Bambous Virieux,MU,1106677,-20.34,57.76,81.75,88,75,9.17
Vila Velha,BR,3445026,-20.33,-40.29,76.06,94,75,13.87
Provideniya,RU,4031574,64.38,-173.3,-8.63,93,97,3.44
Adrar,MR,2381972,20.5,-10.07,71.24,19,100,13.2
Ballina,AU,2177069,-28.87,153.57,85.8,78,100,19.46
Omsukchan,RU,2122493,62.53,155.8,-39.3,100,94,3.87
Atuona,PF,4020109,-9.8,-139.03,80.83,78,0,14.03
Nhulunbuy,AU,2064735,-12.23,136.77,87.8,70,68,13.87
Gravatai,BR,3462089,-29.94,-50.99,66.36,78,0,6.93
Kautokeino,NO,779330,69.01,23.04,17.26,78,100,10.07
Souillac,MU,933995,-20.52,57.52,81.77,88,75,9.17
Aklavik,CA,5882953,68.22,-135.01,-9.4,76,90,2.24
Calama,CL,3897347,-22.47,-68.93,55.4,87,90,10.29
Mittagong,AU,2157373,-34.45,150.45,75.79,57,90,10.29
Krasnosel'kup,RU,1502073,65.7,82.47,19.83,94,100,14.43
Mountain Home,US,5601615,43.13,-115.69,38.86,100,1,17.22
Huambo,AO,3348313,-12.78,15.74,66.2,88,40,3.36
Lere,NG,2332079,10.39,8.57,72.99,12,65,15.26
Erzin,TR,296852,36.96,36.2,47.28,24,0,24.16
Cabo San Lucas,MX,3985710,22.89,-109.91,60.37,89,94,1.99
Karratha,AU,6620339,-20.74,116.85,84.47,79,0,13.78
Torbay,CA,6167817,47.67,-52.73,31.53,92,90,20.8
Tuatapere,NZ,2180815,-46.13,167.68,75.0,67,100,5.99
Tasiilaq,GL,3424607,65.61,-37.64,15.8,52,100,4.7
Barrow,US,5880054,71.29,-156.79,-18.4,68,1,6.93
Luau,AO,876177,-10.71,22.22,73.53,87,100,5.86
Yei,SS,363619,4.09,30.68,84.02,13,18,7.61
Azuaga,ES,2521436,38.27,-5.68,43.0,95,71,5.99
Santa Maria,BR,3450083,-29.68,-53.81,58.35,99,14,3.2
San Cristobal,VE,3628473,7.77,-72.22,54.39,95,100,4.21
Hamilton,US,4513583,39.18,-84.53,39.97,70,90,9.17
Kavieng,PG,2094342,-2.57,150.8,83.16,73,43,9.35
Colesberg,ZA,1013076,-30.72,25.1,79.16,40,68,24.38
Nanortalik,GL,3421765,60.14,-45.24,29.3,86,100,8.1
Hilo,US,5855927,19.73,-155.09,69.84,83,75,3.62
George Town,MY,1735106,5.41,100.34,90.28,59,20,11.41
Alice Springs,AU,2077895,-23.7,133.88,93.2,21,39,18.34
Sangar,RU,2017215,63.92,127.47,-45.56,99,58,1.68
Chokurdakh,RU,2126123,70.63,147.92,-34.1,89,0,7.05
Luderitz,NA,3355672,-26.65,15.16,71.6,68,0,2.24
Butaritari,KI,2110227,3.07,172.79,83.89,72,54,6.96
Matara,LK,1235846,5.95,80.54,90.99,52,26,11.39
San Jose,US,5392171,37.34,-121.89,49.66,93,1,1.21
Arraial do Cabo,BR,3471451,-22.97,-42.03,70.02,95,100,2.39
Bengkulu,ID,1649150,-3.8,102.27,81.68,88,90,2.77
Paamiut,GL,3421193,61.99,-49.67,23.47,93,100,15.05
Stulovo,RU,486983,58.72,50.14,14.05,94,100,9.06
Marneuli,GE,613074,41.48,44.81,35.6,47,75,20.8
Hong Kong,HK,1819729,22.29,114.16,74.1,69,20,16.11
Evensk,RU,2125693,61.95,159.23,-17.3,75,86,12.39
Bucerias,MX,4016734,20.75,-105.33,70.93,94,40,4.7
Nikolskoye,RU,546105,59.7,30.79,36.21,95,75,11.18
Kavaratti,IN,1267390,10.57,72.64,87.8,66,20,4.7
Tual,ID,1623197,-5.67,132.75,83.37,78,6,9.66
Rome,US,5134295,43.21,-75.46,25.97,73,1,5.82
Boundiali,CI,2290836,9.52,-6.49,79.38,15,52,8.25
Tarauaca,BR,3661980,-8.16,-70.77,73.24,98,100,1.63
Oktyabrskoye,RU,515805,43.06,44.74,26.33,86,90,6.71
Eureka,US,5563397,40.8,-124.16,52.84,87,90,16.11
Uspenskaya,RU,478213,45.76,41.07,30.51,73,100,5.37
Orangeburg,US,4590184,33.49,-80.86,46.51,87,75,5.82
Verkh-Usugli,RU,2013459,52.7,115.17,-6.93,85,3,1.1
Nuyo,PH,1979014,7.42,124.41,77.81,83,18,1.21
Gorontalo,ID,1643837,0.54,123.06,82.71,71,5,3.18
Itarema,BR,3393692,-2.92,-39.92,74.86,96,96,3.38
Kaeo,NZ,2189343,-35.1,173.78,70.03,80,12,8.61
Zhigansk,RU,2012530,66.77,123.37,-40.36,96,39,6.24
Norman Wells,CA,6089245,65.28,-126.83,-7.6,83,90,4.7
Saint-Joseph,RE,6690296,-21.37,55.62,79.9,78,90,10.29
Saltpond,GH,2295672,5.21,-1.06,80.83,82,40,0.47
